issue,language ,refrence ,quote,content_type,links,Tips
Sadness,English,Brahma Kumaris,"Every sorrow is temporary, because your soul is eternal and full of light.",video,https://youtu.be/YyCXp_E4sMU?si=ctLVhS59kYUdpBfS,"studying, practicing, healing, pushing through sadness"
Sadness,Hindi,"Bhagavad Gita Chapter 2, Verse 14","Sukh aur dukh sharir ke sampark se aate hain, jaise garmi-sardi aati hai aur chali jaati hai. Unhe sehna seekho",video,https://youtu.be/hFa26ggQT0U?si=sT2mX4Zg68Er3AmB,"meditation, reflection, creative expression, or simply pausing to breathe deeply"
Sadness,English,Sadhguru,Sadness is a reaction; life itself is not sad. You are sad because you resist reality.,video,https://youtu.be/bbQym-YVRm0?si=KfG8pucta-KiJX0x,"It could be a memory, a mantra, or your center of calm—hold onto that"
Sadness,Hindi,"Bhagavad Gita Chapter 2, Verse 15","Jo vyakti dukh mein disturb nahi hota aur sukh mein bhi zyada attached nahi hota, wahi sthir-buddhi hai",video,https://youtu.be/FCsCQQuYTuo?si=6CXTKy33wzv2IXUJ,"exercise for 5 minutes, clean your desk, or write one positive thought."
Sadness,English,Sadhguru,"Do not try to get rid of sadness. Understand it, embrace it, and it will transform into wisdom",video,https://youtu.be/rkWbKSn71vo?si=5e_B96PDSO2_-rvh,"Find a quiet moment (even 2–5 minutes),Notice and name what you’re feeling—“I’m feeling sad, tired, disconnected.”,Breathe gently, offering yourself acceptance—“This is okay"""
Sadness,Hindi,"Bhagavad Gita Chapter 18, Verse 73",Jab moh (attachment) khatam hota hai tabhi mann clear hota hai aur dukh door hota hai.,video,https://youtu.be/RQy3MqPMSqY?si=Ci-mswfFj4Mktqu-,"uplifting music, meditation, prayer, or calling a supportive friend."
Sadness,English,Sadhguru,"Whatever you avoid, you become. Facing sadness fully is what liberates you",video,https://youtu.be/191v_vwDNXU?si=ZFjYH0a_fbDybqnS,"Drink a comforting cup of tea mindfully,Stretch your body gently,Close your eyes and take a slow, deep breath,These tiny care rituals affirm that you are worthy of peace."
Sadness,Hindi,Sadhguru,"Agar tumhara dukh tumhe yaad dilata hai ki tum adhoore ho, toh yeh achha hai. Apne dukh ko apne vikaas ke liye use karo",video,https://youtu.be/ZqQHEKDaFys?si=ts08WekbJy7Sbv3T,Remind yourself: “One misstep doesn’t define me—I’m still growing.”
Sadness,Hindi,Sadhguru,Khushi toh tumhari natural state hai. Dukh tum khud create karte ho,video,https://youtu.be/jgm5axDsbS0?si=GtrBysiFZCgscg79,"1 push-up, 5 min walk, one page of reading"
Sadness,Hindi,Sadhguru,"Zindagi mein jo bhi aaye, use fix karne ki zarurat nahi. Apne aap ko aise set karo ki jo bhi aaye, tum fine raho",video,https://youtu.be/I6QwXyE0J9c?si=qH03-tKJfRJiJuTk,"Replace draining content with something that lifts you—podcasts, speeches, prayers, affirmations."
Sadness,Hindi,Brahma Kumaris,"Sorry mat bano, content bano. Sorrow ko apna mat lo, warna tum bhi neeche gir jaoge. Strong raho, taaki doosron ko utha sako.",video,https://youtu.be/SGhoFSKL8HU?si=7WgkMzTLdnJ5WBUD,gently breathe and counter it immediately with your affirming statement
Sadness,Hindi,Brahma Kumaris,"Har experience hamare thoughts aur actions ka result hota hai. Jo beej hum bonge, wahi phal milega",video,https://youtu.be/KTS1-FdAk5Y?si=5apUrYfXEydvNZ6s,"Lean on Loved Ones ,Be the Helper ,Create Daily Check-Ins ,Use a Group Mantra,Celebrate Small Wins"
Sadness,English,Brahma Kumaris,Be aware that your thoughts create your reality; don’t let sorrow dominate your mind,video,https://youtu.be/Yiaatr-Noh0?si=HHnAc65id6xxhogj,"Enjoy your own company,Reflect to know yourself,Stay emotionally steady,Turn loneliness into aloneness,Find joy within, not outside"
Sadness,English,Brahma Kumaris,Sadness comes when you focus on what you lack; happiness comes when you focus on your inner self.,video,https://youtu.be/Ima3Gq3O3_c?si=MhSQX8WUMN45w2Hk,"Embrace solitude to discover yourself, find peace within not outside, build emotional strength by being alone, improve relationships by being complete alone, stay present in every moment."
Sadness,Hindi,"Bhagavad Gita Chapter 6, Verse 5","Insaan ko apne aap ko upar uthana chahiye, apne mann ko kabhi neeche girne mat do. Tumhara dukh tumhare apne control mein hai",video,https://youtu.be/nWNz6Gj2k-w?si=cj2JInUgYFqoJe9P," find inner peace, build strength, improve relationships, stay present."
Sadness,English,Sadhguru,"The fear is simply because you are not living with life, you are living in your mind",video,https://youtu.be/jRuPJ1BKbCI?si=jUa4sSgnr_79StJn,"Eat healthy, stay hydrated, exercise, sleep well, meditate, nurture positive relationships, and live with purpose."
Sadness,English,Sadhguru,"Everything that ever happened to you, you experienced right within you... All human experience is one hundred percent self-created",video,https://youtu.be/d8p-5WcXoRs?si=inAp-8KlAgJIVWXU,"Find inner joy, stay fully alive, and focus on personal growth."
Sadness,English ,Sadhguru,The only reason why you are unhappy is because you are trying to be happy,video,https://youtu.be/xCtMcg9kSdI?si=vE5uuYImiFtghSIz,"Stay joyful within, embrace life fully, and grow constantly."
Sadness,Hindi,Sadhguru,Mansik peeda asal mein isliye hoti hai kyunki zindagi kya hai iska nazariya hum kho dete hain,video,https://youtu.be/USSMYYt1H5E?si=iA_mcUm8ofGi3mta,"Awaken your inner energy, live fully in the moment, and keep evolving."
Sadness,Hindi,Premanand Ji Maharaj,"Kashht ke palon mein, sirf Hari aur Guru hi tumhare saath hote hain",video,https://youtu.be/YgeCHZfmx50?si=G9cy8WrJVPUbJ9zV,"Ignite inner joy, live each moment fully, and keep growing yourself."
Overthinking ,English,Sadguru,"The moment you get identified with something other than what you really are, the activity of the mind begins. You cannot stop it… But you do not know the joy of simply sitting here without a single thought on your mind",video,https://www.youtube.com/watch?v=zCT3wcoZ9ds,"Overthinking Stems from Misidentification, True Stillness Lies Beyond the Mind, Shift Focus to the 'Source of Creation' Within"
Overthinking ,English ,Gaur Gopal Das,"Just like a well-oiled machine, our body and mind need rest to perform at their best",video,https://www.youtube.com/watch?v=U_ilabJbPKU,"Pause Instead of React, Rest as a Priority, Conscious Stillness, Internal Shift Over External Fix"
Overthinking ,English,"Bhagavad Gita Chapter 6, Verse 6","For one who has conquered the mind, the mind is the best friend; but for one who has failed to do so, the mind will remain the greatest enemy",video,https://www.youtube.com/watch?v=t7vNoN-4IOE,"Schedule Daily Breaks, Honor True Relaxation, Treat Your Mind as a System"
Overthinking ,English ,"Bhagavad Gita Chapter 2, Verse 49","Those who are motivated only by desire for the fruits of action are miserable, for they are constantly anxious about the results of what they do",video,https://www.youtube.com/watch?v=bV1wd8Ng40Q,"Practice Mindfulness and Meditation, Simplify Your Thoughts, Embrace Stillness, Cultivate Positive Habits"
Overthinking ,English,"Bhagavad Gita Chapter 2, Verse 15",A person who is not disturbed by happiness and distress and is steady in both is certainly eligible for liberation,video,https://www.youtube.com/watch?v=84hvyUTNVEI,"Recognize the Pattern, Shift Your Perspective, Practice Mindfulness"
Overthinking ,English,"Bhagavad Gita Chapter 6, Verse 16–17","For one who is moderate in eating and recreation, balanced in work, and regulated in sleep, meditation becomes easy, and the mind becomes steady",video,https://www.youtube.com/watch?v=jRuPJ1BKbCI,"Question Your Thoughts, Use Time-Limited Thinking, Seek Support"
Overthinking ,Hindi,"Bhagavad Gita Chapter 2, Verse 47","कर्म करो, फल की चिंता मत करो",video,https://www.youtube.com/watch?v=fOFUVKnjWgI,"Practice digital detox, Engage in creative hobbies, Hydrate and breathe"
Overthinking ,Hindi ,"Bhagavad Gita Chapter 6, Verse 1–2","जो मन को अपने नियंत्रण में रखता है, वही सफलता प्राप्त करता है",video,https://www.youtube.com/watch?v=yDhI7Cpu8Gc,"Write thoughts down, Eat balanced meals, Maintain a consistent sleep schedule"
Overthinking ,Hindi ,"Bhagavad Gita Chapter 2, Verse 13","आत्मा स्थिर और शांत है, भावनाओं से प्रभावित नहीं होती",video,https://www.youtube.com/watch?v=gEpCQmfI7Tw&list=TLPQMTgwODIwMjUfaCEDRAQsyw&index=2,"Set realistic expectations, Break problems into tiny steps, Reframe negative thoughts, Observe thoughts neutrally"
Overthinking ,Hindi,"Bhagavad Gita Chapter 6, Verse 7","जो व्यक्ति अपने मन पर विजय पाता है, वही वास्तविक स्वतंत्रता को अनुभव करता है",video,https://www.youtube.com/watch?v=6x-2upC42Rs,"Accept uncertainty, Visualize peace, Create a worry box, Listen to calming music, Laugh and play"
Loneliness,English,"Bhagavad Gita Chapter 2, Verse 48","Perform your duties equably, free from attachment to success or failure,  equanimity is called yoga",video,https://www.youtube.com/watch?v=vtg9q00AZOc,"Self-acceptance, Inner fulfillment, Connection with oneself"
Loneliness,English ,"Bhagavad Gita Chapter 6, Verse 6","By understanding the self deeply, one becomes rooted in one’s own nature",video,https://www.youtube.com/watch?v=Yiaatr-Noh0,"Reconnect with purpose, Use affirmations, Observe thoughts neutrally"
Loneliness,English ,"Bhagavad Gita Chapter 6, Verse 19",The soul is rooted in Brahman and remains steady within itself when disciplined,video,https://www.youtube.com/watch?v=7q8OYsieWNQ,"Reach out to family or friends, Volunteer or help others, Join groups or clubs, Limit toxic relationships"
Loneliness,English,"Bhagavad Gita Chapter 6, Verse 5",One should lift oneself by oneself; the self alone is one’s friend and one’s enemy,video,https://www.youtube.com/watch?v=0s4_3H5LuiI,"Accept impermanence, Practice yoga or stretching, Celebrate small wins"
Loneliness,English,"Bhagavad Gita Chapter 2, Verse 32","Like a lamp in a windless place does not flicker, the disciplined mind remains steady in solitude",video,https://www.youtube.com/watch?v=UfkKZqG-WTs,"Be patient with yourself, Share your feelings, Write a personal journal"
Loneliness,Hindi ,"Bhagavad Gita Chapter 6, Verse 19",आत्मा स्वयं में स्थित होने के कारण ब्रह्मा में प्रतिष्ठित होता है।,video,https://www.youtube.com/watch?v=HCk2SttN9wY,"Reframe loneliness as opportunity, Be of service to someone, Develop empathy for others"
Loneliness,Hindi,"Bhagavad Gita Chapter 6, Verse 32",जो सभी प्राणियों में समान मन रखता है और उन्हें देखता है।,video,https://www.youtube.com/watch?v=-QH81viV3QM,"Identify triggers that increase feelings of loneliness, Develop a morning ritual that centers you, Visualize yourself as strong and resilient in solitude"
Loneliness,English,"Bhagavad Gita Chapter 2, Verse 50","Focus on performing your duties with skill, dedication, and mindfulness, without attachment to the results.",video,https://www.youtube.com/watch?v=OEPAzLU-XnM,"Create a structured routine, Limit TV or passive screen time, Organize your personal space for clarity"
Loneliness,Hindi ,Sadhguru,"जब आप अकेले होते हैं और अकेलापन महसूस करते हैं, तो इसका मतलब है कि आप स्वयं के साथ अच्छे नहीं हैं।",video,https://www.youtube.com/watch?v=awKgs6vR-cs,"Attend community or spiritual gathering, Practice active listening, Hydrate well"
Loneliness,English,Sadhguru,"For those who are on the spiritual path, being alone, keeping a distance from people, and becoming silent are not issues – these are opportunities",video,https://www.youtube.com/watch?v=jS_HDb03GDc,"Do not judge yourself, Do not judge yourself by other people's timelines, Sit in silence and meditate, Follow your dreams with passion"
Loneliness,English,Sadhguru,"Sit alone for five minutes and see what your life would be like if you were absolutely alone in this world. If there were nobody or nothing to compare yourself with, what would you truly long for?",video,https://www.youtube.com/watch?v=Ghr-rAjO2bU,"Never judge your feelings, Value yourself, Practice self compassion"
Hopelessness,English,Brahma Kumaris,"When you connect with your inner soul, you realize every situation is temporary; hopelessness has no place in a soul-conscious mind",video,https://youtu.be/rj7lh97z7JM?si=cuwDO11fovRP2TmH,"take small steps, do activities you enjoy, talk to someone you trust, practice mindfulness"
Hopelessness,English,Sadhguru,"Hopelessness is a choice. Life always has possibilities, but you must look beyond your current misery",video,https://youtu.be/nz7UhGX4JrI?si=lr3xNF9zd2p2AnSZ,"Accept your feelings, take a deep breath, and remember this moment is temporary"
Hopelessness,English,Premanand Ji Maharaj,The one who surrenders to the divine and acts with faith never truly feels hopeless.,video,https://youtu.be/MH9DiA-Xvjg?si=qtf9oqL3SEZk7Fjm,"Focus on small steps, set tiny goals, and celebrate every little achievement."
Hopelessness,English,Gaur Gopal Das,"When you focus on gratitude and service, despair dissolves and hope naturally arises.",video,https://youtu.be/4ZQkYSpmOdU?si=kB2-ZlhGGnkKFnnU,"Talk to someone you trust, share your thoughts, and seek comfort in connection."
Hopelessness,English,"Bhagavad Gita Chapter 2, Verse 14",Pleasure and pain are temporary; bear them with equanimity,video,https://youtu.be/B-5FO86NqG0?si=zDuc-C2uPvTf4GRV,"Practice gratitude daily, notice small joys, and shift attention from what’s missing."
Hopelessness,Hindi,Brahma Kumaris,"Jab hum apni atma ki shakti ko yaad karte hain, toh andhera aur hopelessness khud hi door ho jaata hai.",video,https://youtu.be/VyTKEr70jRI?si=HEx1XNPIJ-kNRzLZ,"Engage in physical activity, go for a walk, and release stress through movement."
Hopelessness,Hindi,Sadhguru,"Zindagi kabhi rukti nahi, bas hum apni nazar se hi hopeless feel karte hain.",video,https://youtu.be/jgm5axDsbS0?si=2nZD24-2Tw5xQi2t,"Limit negative media, surround yourself with positivity, and avoid toxic environments."
Hopelessness,Hindi,Premanand Ji Maharaj,"Jab shraddha aur bhakti dil se hoti hai, tab har mushkil mein bhi umeed jagi rehti hai.",video,https://youtu.be/DURJ_tUZB3U?si=OoEszhGL1b8cRxhh,"Meditate or practice mindfulness, center your mind, and stay present in the moment."
Hopelessness,Hindi,Gaur Gopal Das,"Jab hum apni energy ko positive cheezon par lagate hain, hopelessness ka koi space nahi bachta.",video,https://youtu.be/ZqQHEKDaFys?si=hx7gK0ww30vB8UH1,"Help someone else, volunteer, and gain perspective through acts of kindness."
Hopelessness,Hindi,"Bhagavad Gita  Chapter 2, Verse 47","Karm karte jao bina kisi dar aur nirasha ke, phal ki chinta chhodo",video,https://youtu.be/SusqIc1mrbY?si=9XOp9_Wl577ub2J-,"Write your thoughts, journal your emotions, and see patterns to find clarity."
Self-Doubt,English,Brahma Kumaris,"Inner peace and confidence come from connecting with your soul and realizing your true self, not from external approval.",video,https://youtu.be/Y3gAUmIdmdU?si=8wQCeto-0LBfmfFi,"Believe in your abilities, take action, and trust yourself even in uncertainty"
Self-Doubt,English,Sadhguru,"It’s good to doubt yourself. Before anything is right or wrong, first look within; maybe it’s you who needs the change",video,https://youtu.be/lJCUC0mRkPo?si=vatmXcW13gy4g1z-,"Focus on past successes, remind yourself of strengths, and silence negative thoughts."
Self-Doubt,English,Premanand Ji Maharaj,The one who directs their actions in the right direction is on the true path,video,https://youtu.be/LSDTglSLx9c?si=23aqA3MmLeeEphxN,"Set small goals, achieve them step by step, and build confidence gradually."
Self-Doubt,English,Gaur Gopal Das,"When we are true to ourselves, there's nothing to fear from the world",video,https://youtu.be/x0WiVibxD9A?si=9dPGae2iL2H5t8RB,"Learn from mistakes, see failures as lessons, and keep moving forward."
Self-Doubt,English,"Bhagavad Gita Chapter 3, Verse 35",The one who directs their actions in the right direction is on the true path.,video,https://youtu.be/HvSwVghMtJ8?si=eUJIHhp4UHVMsC5X,"Avoid comparing yourself to others, honor your unique journey, and embrace growth."
Self-Doubt,Hindi,Brahma Kumaris,"Jab aap apne aap ko jaante hain, to aap apni shaktiyon aur kamzori ko bhi samajhte hain. Kuch bhi aapko hila nahi sakta aur koi bhi shabd aapko aahat nahi kar sakta",video,https://youtu.be/910ReV9kxfQ?si=KTJYHFjPtl1SCUI9,"Practice positive self-talk, replace “I can’t” with “I will try,” and shift mindset."
Self-Doubt,Hindi,Sadhguru,"Sandeh buddhimatta ka chihn hai. Sacchi buddhimatta jigyasa mein rehti hai, jabki ahankar aksar ajnanta ko chhupata hai.",video,https://youtu.be/FNrH-YNAlTs?si=s47zjMb2ErOO8BC_,"Surround yourself with supportive people, seek encouragement, and reject negativity."
Self-Doubt,Hindi,Premanand Ji Maharaj,"Jo apne man ko niyantrit kar leta hai, wahi sacche sukh ka anubhav karta hai",video,https://youtu.be/DURJ_tUZB3U?si=KJErJtsuSNlmbUgG,"Prepare and plan, gain knowledge, and reduce fear through readiness."
Self-Doubt,Hindi,Premanand Ji Maharaj,Saty ke marg par chalne wala vyakti sada vijayi hota hai,video,https://youtu.be/Dh0cDSswb_I?si=zTKzUykxhLOVqmXV,"Visualize success, imagine achieving your goals, and fuel your inner motivation."
Self-Doubt,Hindi,Gaur Gopal Das,"Apni galtiyon se seekhna zaroori hai, par unhe apni pehchaan mat samajhna.",video,https://youtu.be/b3ttfXIGg9E?si=bjsAVhtfdU3_0R53,"Take care of your mind and body, rest well, and keep energy high to face challenge"
Self-Doubt,Hindi,"Bhagavad Gita  Chapter 3, Verse 35 (3.35)","Jo apne karmo ko sahi disha mein chalata hai, wahi sacche marg par chalta hai.",video,https://youtu.be/2-inNDXoeVE?si=cdJGq6F2xvpOPIqA,"Seek professional support, trust guidance, and remember asking for help is strength."
Self-Doubt,English,A.P.J. Abdul Kalam,Confidence and hard work is the best medicine to kill the disease called failure,short clip,https://www.youtube.com/watch?v=CmSd_DLj70M,"Believe in God’s plan– If He sent you here, you’re capable."
Self-Doubt,English,Kiran Bedi,The focus is what keeps you confident. Distraction is the enemy of self-belief,video,https://www.youtube.com/watch?v=XmIXgTkpFdk,Speak truth – Truth gives inner strength.
Self-Doubt,Hindi,Swami Vivekananda,Tum apne sapno ko sach karne ke liye jimmedar ho.,short clip,https://www.youtube.com/watch?v=UfkKZqG-WTs,Keep good company – Positive people boost your confidence.
Self-Doubt,Hindi,BK Shivani,Aapke vichaar hi aapki haqeeqat banate hain — unhe samajhdari se chuniye.,video,https://www.youtube.com/watch?v=CPlutfyD70Q,Do your duty – Confidence grows from doing your best.
Self-Doubt,Hindi,Bhagavad Gita2.47,"ou have a right to perform your duties, but not to the fruits of your actions. Do not let the results be your motive, nor let your attachment be to inaction",short clip,https://www.youtube.com/shorts/NlHSKv-Rx10,"Remember your worth – You are a soul, not just a body."
Self-Doubt,Hindi,Bhagavad Gita6.6,"For one who has conquered the mind, the mind is the best friend; but for one who has failed to do so, the mind will remain the greatest enemy.",video,https://www.youtube.com/watch?v=JaDKYQrQXA4,Stay disciplined – Small daily discipline builds big confidence.
Self-Doubt,English,Bhagavad Gita 2.13,"Just as the soul passes from childhood to youth to old age, it also passes into another body at death. The wise are not disturbed by this",video,https://www.youtube.com/watch?v=22wpwgpy7fY,"Focus on progress, not perfection – Every step counts."
Self-Doubt,English,Bhagavad Gita 3.35,It is better to follow your own path imperfectly than to follow someone else’s path perfectly,short clip,https://www.youtube.com/shorts/XzPBo1hWxsU,"Face fears – Running away weakens, facing them strengthens."
Self-Doubt,English,Bhagavad Gita 2.38,"Treat pleasure and pain, gain and loss, victory and defeat the same, and then go into battle. That way you won’t incur sin",short clip,https://www.youtube.com/shorts/RDm5c2fBxBU,Pray daily – Connection with God gives unshakable courage.
Self-Doubt,English,Bhagavad Gita 9.22,"To those who are devoted to Me and worship Me with love, I give what they lack and protect what they have.",video,https://www.youtube.com/watch?v=3gqQevdM7xM,Think positive– Replace “I can’t” with “I will try.”
Self-Doubt,English,Bhagavad Gita 6.5,Lift yourself by yourself. Don’t let yourself fall. You are your own friend and your own enemy.,video,https://www.youtube.com/watch?v=cwLVRzAGjkw,Celebrate small wins – They add up to big victories.
Self-Doubt,Hindi,Bhagavad Gita 3.30,"Jo chinta aur dar se mukt ho, wahi safal hota hai.",short clip,https://www.youtube.com/shorts/x1ABRB-Sehg,Avoid comparison – Focus on your own journey.
Self-Doubt,Hindi,Bhagavad Gita 4.19,"Jo vyakti apne karmon ko gyaan ki agni se shuddh karta hai aur apne sankalpon par niyantran rakhta hai, wahi sachcha gyaani hai.",short clip,https://www.youtube.com/shorts/RHYne_IZcZs,Speak clearly – Your voice reflects your confidence.
Self-Doubt,Hindi,Bhagavad Gita 9.27,"Jo kuch tu karta hai, jo kuch khata hai, jo kuch arpan karta hai — sab mujhe samarpit kar.",video,https://www.youtube.com/watch?v=USSMYYt1H5E,"Dress well – When you look good, you feel good."
Self-Doubt,Hindi,Bhagavad Gita 4.39,"Jo shraddha aur vishwas rakhta hai, apne man aur indriyon ko niyantrit karta hai, wahi gyaan prapt karta hai.",short clip,https://www.youtube.com/shorts/hfRt5oA1-lA,Help others – Service builds self-worth.
Self-Doubt,English,Premanand Ji Maharaj,"The true path to enlightenment lies within oneself. Look inward, and you shall find the light you seek.",short clip,https://www.youtube.com/shorts/aasfvlz1y3Y,Face fears – Avoiding them makes them bigger.
Self-Doubt,English,Premanand Ji Maharaj,Adversity and humiliation are steps on the path to charity.,video,https://www.youtube.com/watch?v=7uWcD9BsWYM,Visualize success – See yourself winning before you start.
Self-Doubt,English,Premanand Ji Maharaj,Don’t be impatient; walk the right path patiently—you will surely get the result,video,https://www.youtube.com/watch?v=PrvVt9CrMGM,Sit straight – Good posture boosts confidence instantly.
Self-Doubt,English,Premanand Ji Maharaj,"No one in this physical world has the power to hold you; you are the one holding on, and you are the one who has to let go.",video,https://www.youtube.com/watch?v=Dh0cDSswb_I,Limit negative media – Protect your mind from constant doubt.
Self-Doubt,English,Premanand Ji Maharaj,"If you constantly get entangled in others’ opinions, you’ll never discover your life’s true purpose. Stop worrying what people say. Start thinking what God wants for you.",video,https://www.youtube.com/watch?v=PrvVt9CrMGM&t=12s,Learn new skills – Knowledge adds natural confidence.
