Issue,Language,Question,Option,Audio
Anger,English,What situation is making you angry?,Feeling misunderstood or unheard | Injustice or unfair treatment | Someone breaking my trust | Feeling powerless and controlled,https://www.soundjay.com/nature/sounds/river-1.mp3
Anger,English,How do you usually express your anger?,"Raising my voice or arguing |Staying silent but holding resentment |Avoiding the situation altogether | Expressing through physical actions (e.g., slamming things)",https://cdn.pixabay.com/audio/2022/08/04/audio_2dde6b460a.mp3
Anger,English,What would help you feel more peaceful?,Talking it out calmly | Taking time alone to cool off | Engaging in a physical activity | Writing down my thoughts,https://cdn.pixabay.com/audio/2023/07/27/audio_125071.mp3
Fear,English,What triggers your fear most often?,Uncertainty about the future | Fear of rejection or judgment | Fear of failure | Fear for loved ones’ safety,https://cdn.pixabay.com/audio/2022/11/17/audio_8b6c8d2c24.mp3
Fear,English,How do you usually deal with fear?,Avoiding the fearful situation | Facing it gradually | Seeking comfort in others | Trying to distract myself,https://www.soundjay.com/nature/sounds/forest-1.mp3
Fear,English,What helps you feel safe when afraid?,"Being around people I trust | Having a plan of action | Calming activities (breathing, meditation) | Reminding myself of my strengths",https://cdn.pixabay.com/audio/2022/03/10/audio_6735.mp3
Depression,English,What thought do you struggle with the most?,I’m not good enough. | Nothing will ever change. | I’m a burden to others. | I feel empty inside.,https://www.soundjay.com/nature/sounds/river-1.mp3
Depression,English,How does depression affect your daily life?,Low energy and fatigue | Trouble focusing on tasks | Losing interest in activities I once enjoyed | Disturbed sleep patterns,https://cdn.pixabay.com/audio/2022/08/04/audio_2dde6b460a.mp3
Depression,English,"What helps you cope, even a little?",Talking with someone who listens | Journaling or self-reflection | Physical activity or movement | Small achievements or routines,https://cdn.pixabay.com/audio/2023/07/27/audio_125071.mp3
Self-Doubt,English,In which area do you doubt yourself the most?,Career or academics | Relationships | Social interactions | Personal abilities/talents,https://cdn.pixabay.com/audio/2022/11/17/audio_8b6c8d2c24.mp3
Self-Doubt,English,How do you respond when self-doubt arises?,Overthinking every detail | Comparing myself to others | Avoiding challenges altogether | Seeking reassurance from others,https://www.soundjay.com/nature/sounds/forest-1.mp3
Self-Doubt,English,What helps you feel more confident?,Remembering past successes | Encouragement from loved ones | Practicing and preparing | Positive self-talk,https://cdn.pixabay.com/audio/2022/03/10/audio_6735.mp3
Sadness,English,What usually makes you feel sad?,Losing someone or something important | Feeling lonely or left out |Facing failure or rejection | Watching others suffer,https://www.soundjay.com/nature/sounds/river-1.mp3
Sadness,English,How do you react when you feel sad?,Crying or tearing up | Isolating myself from others | Distracting myself with activities | Sharing my feelings with someone I trust,https://cdn.pixabay.com/audio/2022/08/04/audio_2dde6b460a.mp3
Sadness,English,What comforts you the most when you’re sad?,Listening to calming music | Spending time with loved ones | Talking about my feelings | Resting or sleeping,https://cdn.pixabay.com/audio/2023/07/27/audio_125071.mp3
Life Transitions,English,What kind of life change feels most overwhelming?,Moving to a new place | Starting/losing a job | Relationship changes | Academic/career pressure,https://cdn.pixabay.com/audio/2022/11/17/audio_8b6c8d2c24.mp3
Life Transitions,English,How do you usually handle big changes?,Planning everything in detail | Seeking support from family/friends | Avoiding thinking about it | Taking it one step at a time,https://www.soundjay.com/nature/sounds/forest-1.mp3
Life Transitions,English,What would help you adapt better to transitions?,Guidance or mentorship | More emotional support | Extra time to adjust | Staying positive and hopeful,https://cdn.pixabay.com/audio/2022/03/10/audio_6735.mp3
Overthinking,English,What situation tends to trigger your overthinking?,Worrying about past mistakes | Uncertainty in decisions | Imagining worst-case scenarios | Over-analyzing others' words or actions,https://cdn.pixabay.com/audio/2022/08/04/audio_2dde6b460a.mp3
Overthinking,English,How do you usually react when overthinking takes over?,Replaying scenarios endlessly in my mind | Procrastinating on tasks | Seeking constant reassurance from others | Feeling anxious and unable to focus,https://cdn.pixabay.com/audio/2022/08/04/audio_2dde6b460a.mp3
Overthinking,English,What would help you reduce overthinking and feel clearer?,Practicing mindfulness or meditation | Setting time limits for decisions | Talking it out with a trusted friend | Engaging in a distracting hobby or activity,https://www.soundjay.com/nature/sounds/river-1.mp3
Loneliness,English,What situation is making you feel lonely?,Lack of meaningful connections | Being in a crowd but feeling unseen | Missing close family or friends | Going through a life change alone,https://cdn.pixabay.com/audio/2022/08/04/audio_2dde6b460a.mp3
Loneliness,English,How do you usually express or deal with your loneliness?,Withdrawing further into isolation | Reaching out sporadically to others | Distracting myself with work or media | Feeling overwhelmed and tearful,https://cdn.pixabay.com/audio/2022/08/04/audio_2dde6b460a.mp3
Loneliness,English,What would help you feel more connected and less lonely?,Joining a community group or club | Spending quality time with loved ones | Practicing self-compassion and hobbies | Seeking professional support or therapy,https://www.soundjay.com/nature/sounds/river-1.mp3
Hopelessness,English,What situation is making you feel hopeless?,Repeated failures or setbacks | Uncertainty about the future | Feeling stuck in a negative cycle | Lack of support during tough times,https://cdn.pixabay.com/audio/2022/08/04/audio_2dde6b460a.mp3
Hopelessness,English,How do you usually express your hopelessness?,Withdrawing from activities and people | Expressing frustration or despair verbally | Losing motivation for daily tasks | Dwelling on negative thoughts internally,https://cdn.pixabay.com/audio/2022/08/04/audio_2dde6b460a.mp3
Hopelessness,English,What would help you feel more hopeful and motivated?,"Setting small, achievable goals | Talking to someone who understands | Engaging in positive affirmations or journaling | Seeking inspiration from stories of resilience",https://www.soundjay.com/nature/sounds/river-1.mp3
Anger,Hindi,Tumhe gussa kab aata hai?,Jab koi respect nahi karta | Jab chhoti baat pe provoke karta hai | Jab meri baat ignore hoti hai | Jab cheezein mere control me nahi hoti,https://cdn.pixabay.com/audio/2022/11/17/audio_8b6c8d2c24.mp3
Anger,Hindi,Gussa ka effect kya hota hai?,Relationships kharab hote hain | Decision impulsive ho jate hain | Health par bura asar padta hai | Regret hota hai baad me,https://www.soundjay.com/nature/sounds/forest-1.mp3
Anger,Hindi,Gusse ko kaise handle karte ho?,Deep breathing karke | Walk pe jaake | Kisi close friend se baat karke | Apna dhyaan divert karke,https://cdn.pixabay.com/audio/2022/03/10/audio_6735.mp3
Fear,Hindi,Tumhe sabse zyada dar kab lagta hai?,Jab future uncertain lagta hai | Jab koi important exam/interview hota hai | Jab akela feel karta hoon | Jab dark ya silent place me hota hoon,https://www.soundjay.com/nature/sounds/river-1.mp3
Fear,Hindi,Jab tumhe dar lagta hai to kya hota hai?,Nervousness badh jata hai | Neend disturb hoti hai | Focus kam ho jata hai | Risk lene se dar lagta hai,https://cdn.pixabay.com/audio/2022/08/04/audio_2dde6b460a.mp3
Fear,Hindi,Tum dar ko kaise handle karte ho?,Apne aap ko prepare karta hoon | Positive sochta hoon | Apne dar ka saamna karta hoon | Ignore kar deta hoon,https://cdn.pixabay.com/audio/2023/07/27/audio_125071.mp3
Depression,Hindi,Tumhe depression kab feel hota hai?,Jab failures repeat hote hain | Jab lagta hai life meaningless hai | Jab akelapan hota hai | Jab rejection milta hai,https://cdn.pixabay.com/audio/2022/11/17/audio_8b6c8d2c24.mp3
Depression,Hindi,Depression ka effect tum par kya hota hai?,Energy zero ho jaati hai | Kisi cheez me interest nahi bachta | Har din boring lagta hai | Motivation gir jata hai,https://www.soundjay.com/nature/sounds/forest-1.mp3
Depression,Hindi,Depression ko kaise handle karte ho?,Dost/family se baat karta hoon | Therapist se consult karta hoon | Meditation karta hoon | Apni feelings likhta hoon,https://cdn.pixabay.com/audio/2022/03/10/audio_6735.mp3
Self-Doubt,Hindi,Tumhe self-doubt kab hota hai?,Jab failure milta hai | Jab log criticize karte hain | Jab dusron se compare karta hoon | Jab big decisions lene hote hain,https://www.soundjay.com/nature/sounds/forest-1.mp3
Self-Doubt,Hindi,Self-doubt ka effect kya hota hai?,Confidence gir jata hai | Decisions delay ho jaate hain | Apne aap ko underestimate karta hoon | Motivation kam ho jata hai,https://cdn.pixabay.com/audio/2022/03/10/audio_6735.mp3
Self-Doubt,Hindi,Tum self-doubt ko kaise handle karte ho?,Apni achievements yaad karta hoon | Apne dost/family se baat karta hoon | Positive affirmations bolta hoon | Time ke sath chhod deta hoon,https://www.soundjay.com/nature/sounds/forest-1.mp3
Sadness,Hindi,Tumhe sadness kab hoti hai?,Jab kisi apne se door ho jaata hoon | Jab expectations toot jati hain | Jab rejection milta hai | Jab akela feel karta hoon,https://cdn.pixabay.com/audio/2022/03/10/audio_6735.mp3
Sadness,Hindi,Sadness ka effect tum par kya hota hai?,Mood off rehta hai | Productive kam ho jata hai | Har cheez boring lagti hai | Rone ka mann karta hai,https://www.soundjay.com/nature/sounds/forest-1.mp3
Sadness,Hindi,Tum sadness ko kaise handle karte ho?,Music sunta hoon | Apne emotions likhta hoon | Dost se baat karta hoon | Nature me time spend karta hoon,https://cdn.pixabay.com/audio/2022/03/10/audio_6735.mp3
Life Transitions,Hindi,Life transition kab tough lagta hai?,Jab job change hoti hai | Jab naye city me shift hota hoon | Jab new college start hota hai | Jab relationship me badlav aata hai,https://www.soundjay.com/nature/sounds/forest-1.mp3
Life Transitions,Hindi,Transition ka effect tum par kya hota hai?,Adjustment problem hoti hai | Stress badh jata hai | Confidence gir jata hai | Motivation fluctuate hota hai,https://cdn.pixabay.com/audio/2022/03/10/audio_6735.mp3
Life Transitions,Hindi,Tum transition ko kaise handle karte ho?,New environment explore karta hoon | New logon se connect karta hoon | Routine banata hoon | Goals pe focus karta hoon,https://www.soundjay.com/nature/sounds/forest-1.mp3
Overthinking,Hindi,Tum kab overthink karte ho?,Jab chhoti baat dimag me atak jati hai | Jab future uncertain lagta hai | Jab important decision lena hota hai | Jab past yaad aata hai,https://cdn.pixabay.com/audio/2022/03/10/audio_6735.mp3
Overthinking,Hindi,Overthinking ka effect tum par kya hota hai?,Stress badhta hai | Neend disturb hoti hai | Productivity kam ho jati hai | Self-confidence girta hai,https://www.soundjay.com/nature/sounds/forest-1.mp3
Overthinking,Hindi,Overthinking ko kaise handle karte ho?,Thoughts likhta hoon | Meditation karta hoon | Apna dhyaan divert karta hoon | Time limit set karta hoon,https://cdn.pixabay.com/audio/2022/03/10/audio_6735.mp3
Loneliness,Hindi,Tumhe loneliness kab feel hota hai?,Jab friends/family busy hote hain | Jab social gatherings me ignore hota hoon | Jab relationship me problem hoti hai | Jab akela rehna padta hai,https://www.soundjay.com/nature/sounds/forest-1.mp3
Loneliness,Hindi,Loneliness ko kaise handle karte ho?,Dost/family se baat karta hoon | New hobbies start karta hoon | Group activities join karta hoon | Self-love practice karta hoon,https://cdn.pixabay.com/audio/2022/03/10/audio_6735.mp3
Loneliness,Hindi,Loneliness ka effect tum par kya hota hai?,Negative thoughts aate hain | Confidence girta hai | Anxiety feel hoti hai | Motivation kam ho jata hai,https://www.soundjay.com/nature/sounds/forest-1.mp3
Hopelessness,Hindi,Tumhe hopelessness kab hoti hai?,Jab bar-bar failures milte hain | Jab future unclear lagta hai | Jab support system nahi hota | Jab efforts ke baad result nahi milta,https://cdn.pixabay.com/audio/2022/03/10/audio_6735.mp3
Hopelessness,Hindi,Hopelessness ka effect tum par kya hota hai?,Motivation zero ho jata hai | Har cheez bekaar lagti hai | Confidence girta hai | Negative thinking dominate karti hai,https://www.soundjay.com/nature/sounds/forest-1.mp3
Hopelessness,Hindi,Tum hopelessness ko kaise handle karte ho?,Small achievements yaad karta hoon | Positive logon ke saath rehta hoon | Goals ko small steps me todta hoon | Self-care activities karta hoon,https://cdn.pixabay.com/audio/2022/03/10/audio_6735.mp3
